,trade_date,open,close,high,low
74,20190623,6.3549,6.3644,6.4887,6.2306
73,20190616,6.4122,6.3453,6.4887,6.2306
72,20190609,6.1924,6.3644,6.4313,6.1829
71,20190602,5.8771,6.2115,6.2593,5.8675
70,20190526,5.8293,5.8962,5.9631,5.7815
69,20190519,6.4504,5.8675,6.4791,5.8293
68,20190512,6.3644,6.4982,6.6225,6.2402
67,20190505,6.202000000000001,6.4504,6.4887,6.1924
66,20190428,6.4027,6.1924,6.5173,6.1924
65,20190421,6.3931,6.4122,6.4409,6.2115
64,20190414,6.4027,6.3644,6.4313,6.1829
63,20190407,6.2689,6.374,6.4409,6.1924
62,20190331,6.2593,6.2689,6.3644,6.1255
61,20190324,6.3644,6.2975,6.5364,6.2115
60,20190317,6.5938,6.3644,6.89,6.3453
59,20190310,6.4791,6.6511,7.1003,6.4696
58,20190303,6.4887,6.46,6.8327,6.3835
57,20190224,6.6607,6.4982,6.8709,6.3835
56,20190217,6.1733,6.5938,6.6798,6.1351
55,20190203,6.3835,6.1638,6.5747,5.9631
54,20190127,6.5747,6.3835,6.8327,6.3167
53,20190120,6.632000000000001,6.6033,6.803999999999999,6.3549
52,20190113,6.7658,6.6607,7.0238,6.4982
51,20190106,7.0238,6.7849,7.0334,6.546
50,20181230,7.0429,7.0525,7.1194,6.8327
49,20181223,7.062,7.0811,7.2054,6.7945
48,20181216,7.0429,7.0907,7.4061,6.7849
47,20181209,6.5842,7.0334,7.1098,6.5842
46,20181202,6.4027,6.5938,6.7754,6.1733
45,20181125,6.5173,6.4218,6.6893,6.3262
44,20181118,6.3358,6.4696,6.7371,6.3358
43,20181111,6.3262,6.3167,6.5556,6.2115
42,20181104,5.6955,6.3071,6.3358,5.5522
41,20181028,6.3167,5.7051,6.546,5.5235
40,20181021,6.5269,6.3262,6.6225,6.0204
39,20181014,7.2149,6.5173,7.3105,6.4218
38,20180930,7.1767,7.3678,7.4538,7.1194
37,20180923,7.1863,7.2054,7.4921,7.0525
36,20180916,6.7658,7.1863,7.2627,6.718
35,20180909,6.718,6.7658,7.1003,6.6798
34,20180902,6.9091,6.7085,7.1767,6.6989
33,20180826,6.7371,6.8805,6.9856,6.5938
32,20180819,6.5747,6.7085,6.8327,6.3835
31,20180812,7.1767,6.632000000000001,7.2149,6.5364
30,20180805,7.1672,7.2245,7.6259,7.0334
29,20180729,7.4921,7.1672,7.5494,7.0907
28,20180722,6.6798,7.4921,7.8265,6.4027
27,20180715,6.3644,6.6607,6.8231,6.3453
26,20180708,6.0586,6.4027,6.7371,6.0395
25,20180701,5.8388,6.0777,6.1064,5.8293
24,20180624,6.2402,5.8197,6.2402,5.7624
23,20180617,6.1542,6.2784,6.4027,6.1255
22,20180610,6.6607,6.1638,6.7371,6.1064
21,20180603,6.4887,6.6607,6.7945,6.3644
20,20180527,6.0969,6.5842,6.7276,6.0777
19,20180520,5.92,6.0969,6.3435,5.8918
18,20180513,6.0424,5.9388,6.1647,5.9012
17,20180506,5.9294,6.1459,6.1741,5.8541
16,20180429,5.7318,5.8918,5.9106,5.6094
15,20180422,5.9482,5.7318,6.0329,5.7224
14,20180415,5.9482,5.9671,6.0518,5.7318
13,20180408,6.4659,5.9576,6.4753,5.6941
12,20180401,6.4188,6.4659,6.7482,6.2118
11,20180325,6.3906,6.4847,6.6541,6.1929
10,20180318,6.56,6.3153,6.6824,6.2682
9,20180311,6.1835,6.5882,6.7765,6.0612
8,20180304,5.6847,6.1176,6.1929,5.6565
7,20180225,5.6659,5.6847,5.7129,5.6282
6,20180218,5.4871,5.6659,5.7412,5.4871
5,20180211,5.6565,5.4776,5.7882,5.4588
4,20180204,6.0235,5.7318,6.2306,5.6565
3,20180128,5.9294,5.9671,6.0141,5.8729
2,20180121,5.9294,5.9482,5.9482,5.7129
1,20180114,5.9576,5.9012,5.9671,5.8165
0,20180107,5.8165,5.9388,5.9859,5.7976
